0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:50:29 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:27 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:28 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:47 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:51:47 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:05 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:06 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:07 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:07 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:08 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:08 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:52:08 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:01 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:01 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:01 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:02 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:02 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:04 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:52 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:52 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:53 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:53 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:53:54 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:54:02 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:54:40 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:54:40 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:54:40 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:54:51 -0400] "GET /Homework2/jjkim342.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:55:07 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:55:07 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:55:32 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:55:35 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:55:35 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:58:25 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:58:25 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:58:25 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:58:58 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:58:58 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:00 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:00 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:02 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:02 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:02 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:04 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:46 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:22:59:46 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:00:28 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1921
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:00:28 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
